Id|Sentiment|Translated_comment|Original_comment
0|1|work travel comfort headphon nois reduct plane work like charm charg enough long flight|work travel comfort headphon nois reduct plane work like charm charg enough long flight
1|1|airpod pro usb c best tw iphon ye expens money get best anc class perfect integr io instant switch find iphon headphon water resist fantast comfort usb c final unit charg devic budget allow take without think|airpod pro usb c best tw iphon ye expens money get best anc class perfect integr io instant switch find iphon headphon water resist fantast comfort usb c final unit charg devic budget allow take without think
2|1|noisemak magic music heard subway extran sound switch usb c charg macbook sound clear bass soft transpar mode like listen everyth around without distort|noisemak magic music heard subway extran sound switch usb c charg macbook sound clear bass soft transpar mode like listen everyth around without distort
3|1|best wireless headphon use month sound excel nois cancel work flawlessli subway usb c charg conveni|best wireless headphon use month sound excel nois cancel work flawlessli subway usb c charg conveni
4|1|bought samsung bud disappoint synchron android conveni expect mani function work sound good|bought samsung bud disappoint synchron android conveni expect mani function work sound good
5|1|ideal sport fall ear afraid sweat transpar featur let hear surround run|ideal sport fall ear afraid sweat transpar featur let hear surround run
6|1|airpod cool nois cancel work like expens headphon sound super iphon connect immedi|airpod cool nois cancel work like expens headphon sound super iphon connect immedi
7|1|run airpod pro everi day hold perfectli fall even intens train sweat water protect give confid rain batteri enough long run fast charg lifesav|run airpod pro everi day hold perfectli fall even intens train sweat water protect give confid rain batteri enough long run fast charg lifesav
8|0|month left earphon stop hold charg charg minut servic said lack batteri disappoint|month left earphon stop hold charg charg minut servic said lack batteri disappoint
9|1|use work call microphon clear heard perfectli nois reduct offic simpli save type c charg conveni|use work call microphon clear heard perfectli nois reduct offic simpli save type c charg conveni
10|1|headphon normal money expect better qualiti plastic scratch month batteri quickli settl nois cancel mode|headphon normal money expect better qualiti plastic scratch month batteri quickli settl nois cancel mode
11|1|airpod pro headphon technolog masterpiec h chip provid lightn fast switch devic stun spatial sound anc block even low frequenc subway quiet librari usb c logic long await updat|airpod pro headphon technolog masterpiec h chip provid lightn fast switch devic stun spatial sound anc block even low frequenc subway quiet librari usb c logic long await updat
12|1|work music accur tw headphon frequenc rang ideal nois reduct allow concentr recommend profession|work music accur tw headphon frequenc rang ideal nois reduct allow concentr recommend profession
13|1|use month full delight nois cancel work flawlessli sound clear deep autonomi improv compar first version|use month full delight nois cancel work flawlessli sound clear deep autonomi improv compar first version
14|1|erpod pro top sound great feel ear charg quickli|erpod pro top sound great feel ear charg quickli
15|0|switch airpod pro second gener differ notic nois cancel becom effect sound detail case usb c miss choos definit take new version|switch airpod pro second gener differ notic nois cancel becom effect sound detail case usb c miss choos definit take new version
16|0|bought first one sound improv right earphon sometim crackl activ nois cancel take servic|bought first one sound improv right earphon sometim crackl activ nois cancel take servic
17|1|airpod pro usb c conveni everi detail transpar mode even natur everyth heard noth ear batteri last hour anc hour case sensori volum control stem brilliant|airpod pro usb c conveni everi detail transpar mode even natur everyth heard noth ear batteri last hour anc hour case sensori volum control stem brilliant
18|1|best headphon ever own nois cancel work perfectli sound clear volumin case usb c conveni|best headphon ever own nois cancel work perfectli sound clear volumin case usb c conveni
19|1|bought airpod super quiet work great sound clear bass good usb c possibl charg everyth one cabl|bought airpod super quiet work great sound clear bass good usb c possibl charg everyth one cabl
20|1|airpod pro new level wireless headphon updat system activ nois reduct like magic subway cafe background nois simpli disappear sound becam even clearer good bass usb c final conveni charg togeth gadget fit comfort ear sometim forget|airpod pro new level wireless headphon updat system activ nois reduct like magic subway cafe background nois simpli disappear sound becam even clearer good bass usb c final conveni charg togeth gadget fit comfort ear sometim forget
